DateTime,AnimalID,System,PositionID
2023-04-24T10:36:34Z,1546,sys.4,3
2023-04-24T10:36:37Z,OR424,sys.1,3
2023-04-24T10:36:38Z,OR419,sys.1,3
2023-04-24T10:36:39Z,OR416,sys.3,3
2023-04-24T10:36:40Z,OR419,sys.1,3
2023-04-24T10:36:41Z,OR415,sys.3,3
2023-04-24T10:36:43Z,OR437,sys.4,3
2023-04-24T10:36:46Z,OR426,sys.5,3
2023-04-24T10:36:46Z,1547,sys.5,7
2023-04-24T10:36:51Z,OR429,sys.4,3
2023-04-24T10:36:52Z,OR434,sys.5,7
2023-04-24T10:36:52Z,OR420,sys.2,3
2023-04-24T10:36:52Z,OR426,sys.5,7
2023-04-24T10:36:54Z,OR432,sys.1,3
2023-04-24T10:36:55Z,OR436,sys.2,7
2023-04-24T10:36:59Z,OR415,sys.3,7
2023-04-24T10:37:01Z,OR419,sys.1,3
2023-04-24T10:37:01Z,OR436,sys.2,3
2023-04-24T10:37:02Z,OR413,sys.3,7
2023-04-24T10:37:03Z,OR416,sys.3,3
2023-04-24T10:37:04Z,OR413,sys.3,7
2023-04-24T10:37:05Z,OR429,sys.4,7
2023-04-24T10:37:06Z,OR414,sys.3,7
2023-04-24T10:37:06Z,1545,sys.2,7
2023-04-24T10:37:08Z,OR424,sys.1,3
2023-04-24T10:37:08Z,OR437,sys.4,7
2023-04-24T10:37:13Z,1546,sys.4,7
2023-04-24T10:37:16Z,OR413,sys.3,7
2023-04-24T10:37:18Z,OR413,sys.3,8
2023-04-24T10:37:20Z,OR419,sys.1,3
2023-04-24T10:37:21Z,1545,sys.2,3
2023-04-24T10:37:21Z,OR436,sys.2,7
2023-04-24T10:37:21Z,OR429,sys.4,3
2023-04-24T10:37:25Z,OR432,sys.1,3
2023-04-24T10:37:25Z,OR415,sys.3,3
2023-04-24T10:37:25Z,OR416,sys.3,3
2023-04-24T10:37:27Z,OR424,sys.1,7
2023-04-24T10:37:30Z,OR428,sys.1,4
2023-04-24T10:37:32Z,OR416,sys.3,3
2023-04-24T10:37:33Z,OR432,sys.1,7
2023-04-24T10:37:33Z,OR429,sys.4,3
2023-04-24T10:37:34Z,OR415,sys.3,7
2023-04-24T10:37:35Z,OR437,sys.4,3
2023-04-24T10:37:36Z,OR420,sys.2,3
2023-04-24T10:37:37Z,OR426,sys.5,3
2023-04-24T10:37:37Z,OR429,sys.4,7
2023-04-24T10:37:38Z,OR428,sys.1,7
2023-04-24T10:37:40Z,OR432,sys.1,4
2023-04-24T10:37:40Z,1547,sys.5,7
2023-04-24T10:37:40Z,OR413,sys.3,3
2023-04-24T10:37:41Z,1546,sys.4,7
2023-04-24T10:37:42Z,OR426,sys.5,7
2023-04-24T10:37:43Z,OR420,sys.2,7
2023-04-24T10:37:44Z,OR432,sys.1,7
2023-04-24T10:37:44Z,OR413,sys.3,8
2023-04-24T10:37:46Z,OR424,sys.1,3
2023-04-24T10:37:47Z,OR432,sys.1,8
2023-04-24T10:37:48Z,OR413,sys.3,3
2023-04-24T10:37:49Z,OR426,sys.5,3
2023-04-24T10:37:51Z,OR437,sys.4,7
